Year_x,Month_x,Product code_x,Bureau of Meteorology station number_x,Day_x,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality_x,Date,Product code_y,Bureau of Meteorology station number_y,Year_y,Month_y,Day_y,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality_y
2017,5,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2017,6,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2017,7,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30
2017,8,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2017,9,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2017,10,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2017,11,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2017,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2018,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2018,2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
2018,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2018,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2018,5,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2018,6,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2018,7,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2018,8,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2018,9,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2018,10,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2018,11,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2018,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2019,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2019,2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
2019,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2019,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2019,5,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2019,6,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2019,7,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2019,8,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
